Totales Territoriales;Nacionalidad;Orden de nacimiento;Periodo;Total
Total Nacional;Española;Todos;2020;32,84
Total Nacional;Española;Todos;2019;32,76
Total Nacional;Española;Todos;2018;32,71
Total Nacional;Española;Todos;2017;32,58
Total Nacional;Española;Todos;2016;32,49
Total Nacional;Española;Todos;2015;32,38
Total Nacional;Española;Todos;2014;32,27
Total Nacional;Española;Todos;2013;32,21
Total Nacional;Española;Todos;2012;32,15
Total Nacional;Española;Todos;2011;32,05
Total Nacional;Española;Todos;2010;31,85
Total Nacional;Española;Todos;2009;31,71
Total Nacional;Española;Todos;2008;31,54
Total Nacional;Española;Todos;2007;31,49
Total Nacional;Española;Todos;2006;31,43
Total Nacional;Española;Todos;2005;31,38
Total Nacional;Española;Todos;2004;31,30
Total Nacional;Española;Todos;2003;31,22
Total Nacional;Española;Todos;2002;31,11
Total Nacional;Extranjera;Todos;2020;30,27
Total Nacional;Extranjera;Todos;2019;30,15
Total Nacional;Extranjera;Todos;2018;29,94
Total Nacional;Extranjera;Todos;2017;29,67
Total Nacional;Extranjera;Todos;2016;29,55
Total Nacional;Extranjera;Todos;2015;29,43
Total Nacional;Extranjera;Todos;2014;29,30
Total Nacional;Extranjera;Todos;2013;29,12
Total Nacional;Extranjera;Todos;2012;28,94
Total Nacional;Extranjera;Todos;2011;28,86
Total Nacional;Extranjera;Todos;2010;28,69
Total Nacional;Extranjera;Todos;2009;28,50
Total Nacional;Extranjera;Todos;2008;28,24
Total Nacional;Extranjera;Todos;2007;28,18
Total Nacional;Extranjera;Todos;2006;28,21
Total Nacional;Extranjera;Todos;2005;28,24
Total Nacional;Extranjera;Todos;2004;28,10
Total Nacional;Extranjera;Todos;2003;28,06
Total Nacional;Extranjera;Todos;2002;27,93
