Sexo;Edad;Sueldo mensual neto en el  primer empleo;Total
Hombres;Menores de 30 años;Menos de 700 euros;31.0
Hombres;Menores de 30 años;De 700 a 999 euros;23.6
Hombres;Menores de 30 años;De 1.000 a 1.499 euros;28.1
Hombres;Menores de 30 años;De 1.500 a 1.999 euros;12.5
Hombres;Menores de 30 años;De 2.000 a 2.499 euros;3.3
Hombres;Menores de 30 años;De 2.500 a 2.999 euros;0.8
Hombres;Menores de 30 años;De 3.000 euros en adelante;0.6
Hombres;De 30 a 34 años;Menos de 700 euros;29.0
Hombres;De 30 a 34 años;De 700 a 999 euros;25.6
Hombres;De 30 a 34 años;De 1.000 a 1.499 euros;30.2
Hombres;De 30 a 34 años;De 1.500 a 1.999 euros;10.5
Hombres;De 30 a 34 años;De 2.000 a 2.499 euros;3.3
Hombres;De 30 a 34 años;De 2.500 a 2.999 euros;0.8
Hombres;De 30 a 34 años;De 3.000 euros en adelante;0.5
Mujeres;Menores de 30 años;Menos de 700 euros;40.7
Mujeres;Menores de 30 años;De 700 a 999 euros;23.9
Mujeres;Menores de 30 años;De 1.000 a 1.499 euros;21.9
Mujeres;Menores de 30 años;De 1.500 a 1.999 euros;10.4
Mujeres;Menores de 30 años;De 2.000 a 2.499 euros;2.3
Mujeres;Menores de 30 años;De 2.500 a 2.999 euros;0.4
Mujeres;Menores de 30 años;De 3.000 euros en adelante;0.4
Mujeres;De 30 a 34 años;Menos de 700 euros;38.6
Mujeres;De 30 a 34 años;De 700 a 999 euros;26.0
Mujeres;De 30 a 34 años;De 1.000 a 1.499 euros;23.4
Mujeres;De 30 a 34 años;De 1.500 a 1.999 euros;9.5
Mujeres;De 30 a 34 años;De 2.000 a 2.499 euros;1.5
Mujeres;De 30 a 34 años;De 2.500 a 2.999 euros;0.3
Mujeres;De 30 a 34 años;De 3.000 euros en adelante;0.5
