Total,Provincias
1362,Madrid
730,Girona
574,Guadalajara
534,Tarragona
509,A Coruña
506,Toledo
467,Illes Balears
376,Castelló/Castellón
363,Málaga
344,València/Valencia
323,Cantabria
277,Lleida
259,Huesca
207,Navarra
195,Pontevedra
160,Gipuzkoa
103,Bizkaia
102,Teruel
91,Sevilla
11,Alacant/Alicante
-14,Soria
-19,Zaragoza
-27,Araba/Álava
-28,Ávila
-35,Segovia
-48,Ourense
-58,Burgos
-79,Cuenca
-81,La Rioja
-83,Lugo
-96,Zamora
-109,Valladolid
-110,Asturias
-132,Murcia
-164,Granada
-180,Palencia
-228,Cádiz
-232,Huelva
-291,Salamanca
-309,Albacete
-318,Ceuta
-339,Melilla
-353,Almería
-358,Ciudad Real
-371,Cáceres
-415,León
-427,Badajoz
-1054,Córdoba
-1058,Jaén
-1064,Barcelona
